news_headline,news_article,news_category,full_text,clean_text
Female football match in Brazil shows score as 0.8-0 to protest unequal pay,"When Corinthians took the lead in the final of the São Paulo women's football championship, the official scoreboard flashed Corinthians 0.8-0 São Paulo. The scoreline was flashed 0.8-0 instead of 1-0 to protest the pay gap between men and women in Brazil. According to IBGE data, women earn about 20% less than men in the country for the same work.",sports,"Female football match in Brazil shows score as 0.8-0 to protest unequal pay. When Corinthians took the lead in the final of the São Paulo women's football championship, the official scoreboard flashed Corinthians 0.8-0 São Paulo. The scoreline was flashed 0.8-0 instead of 1-0 to protest the pay gap between men and women in Brazil. According to IBGE data, women earn about 20% less than men in the country for the same work.",female football match brazil show score protest unequal pay corinthian take lead final sao paulo women football championship official scoreboard flash corinthian sao paulo scoreline flash instead protest pay gap man woman brazil accord ibge datum woman earn less man country work
"Shirtless Virat Kohli fan invades stadium, gets side-hug from India captain",A shirtless Virat Kohli fan managed to breach security and ran inside the Indore stadium to meet Team India captain. The fan had Virat Kohli's initials and jersey number painted behind his back. Kohli gave a side hug to the fan and had a word with him before the security guards came up and escorted the fan away.,sports,"Shirtless Virat Kohli fan invades stadium, gets side-hug from India captain. A shirtless Virat Kohli fan managed to breach security and ran inside the Indore stadium to meet Team India captain. The fan had Virat Kohli's initials and jersey number painted behind his back. Kohli gave a side hug to the fan and had a word with him before the security guards came up and escorted the fan away.",shirtless virat kohli fan invade stadium get side hug india captain shirtless virat kohli fan manage breach security run inside indore stadium meet team india captain fan virat kohlis initial jersey number paint behind back kohli give side hug fan word security guard come escort fan away
"Fan asks Akhtar who is his favourite bowler, he responds 'Virat Kohli'","During a question-answer session on Twitter, a fan asked former Pakistan fast bowler Shoaib Akhtar who his favourite bowler is. Responding to the fan, the 44-year-old said, ""Virat Kohli."" Trolling Akhtar for his response, a user tweeted, ""Lagta hai Mohammed Shami kehna tha aap ne."" ""You are in awe of Kohli that you named him favourite bowler also,"" wrote another.",sports,"Fan asks Akhtar who is his favourite bowler, he responds 'Virat Kohli'. During a question-answer session on Twitter, a fan asked former Pakistan fast bowler Shoaib Akhtar who his favourite bowler is. Responding to the fan, the 44-year-old said, ""Virat Kohli."" Trolling Akhtar for his response, a user tweeted, ""Lagta hai Mohammed Shami kehna tha aap ne."" ""You are in awe of Kohli that you named him favourite bowler also,"" wrote another.",fan ask akhtar favourite bowler respond virat kohli question answer session twitter fan ask former pakistan fast bowler shoaib akhtar favourite bowler respond fan year old say virat kohli troll akhtar response user tweet lagta hai mohammed shami kehna tha aap ne awe kohli name favourite bowler also write another
How much money can each team spend in the IPL 2020 auction?,"After the deadline for retaining and releasing players ended, defending champions Mumbai Indians are left with ₹13.05 crore (lowest among all teams) to spend in the next month's auction for IPL 2020. Chennai Super Kings have a purse of ₹14.60 crore available, while Kings XI Punjab have the highest amount (₹42.70 crore) available. Kolkata Knight Riders can spend ₹35.65 crore. ",sports,"How much money can each team spend in the IPL 2020 auction?. After the deadline for retaining and releasing players ended, defending champions Mumbai Indians are left with ₹13.05 crore (lowest among all teams) to spend in the next month's auction for IPL 2020. Chennai Super Kings have a purse of ₹14.60 crore available, while Kings XI Punjab have the highest amount (₹42.70 crore) available. Kolkata Knight Riders can spend ₹35.65 crore. ",much money team spend ipl auction deadline retain release player end defend champion mumbai indian leave crore low among team spend next month auction ipl chennai super king purse crore available king xi punjab high amount crore available kolkata knight rider spend crore
"Video of Indore crowd chanting '2 Rupaye ki Pepsi, Rahim bhai sexy' surfaces","A video of Indore crowd chanting '2 Rupaye ki Pepsi, Rahim bhai sexy' during the first Test between India and Bangladesh has surfaced online. In the video, Bangladesh's Mushfiqur Rahim can be seen fielding in the deep when the crowd starts chanting. Reacting to the video, a user wrote, ""Indoris can't help it."" ",sports,"Video of Indore crowd chanting '2 Rupaye ki Pepsi, Rahim bhai sexy' surfaces. A video of Indore crowd chanting '2 Rupaye ki Pepsi, Rahim bhai sexy' during the first Test between India and Bangladesh has surfaced online. In the video, Bangladesh's Mushfiqur Rahim can be seen fielding in the deep when the crowd starts chanting. Reacting to the video, a user wrote, ""Indoris can't help it."" ",video indore crowd chant rupaye ki pepsi rahim bhai sexy surface video indore crowd chant rupaye ki pepsi rahim bhai sexy first test india bangladesh surface online video bangladeshs mushfiqur rahim see field deep crowd start chant react video user write indoris not help
Tsitsipas beats Thiem to claim ATP Finals title in London,"Greek tennis player Stefanos Tsitsipas came from being a set down to defeat Austria's world number four Dominic Thiem 6-7(6), 6-2, 7-6(4) and claim the ATP Finals title in London on Sunday. The 21-year-old Greek, who beat Daniil Medvedev and Roger Federer in the tournament, will end the year as the world number six.",sports,"Tsitsipas beats Thiem to claim ATP Finals title in London. Greek tennis player Stefanos Tsitsipas came from being a set down to defeat Austria's world number four Dominic Thiem 6-7(6), 6-2, 7-6(4) and claim the ATP Finals title in London on Sunday. The 21-year-old Greek, who beat Daniil Medvedev and Roger Federer in the tournament, will end the year as the world number six.",tsitsipas beat thiem claim atp final title london greek tennis player stefanos tsitsipa come set defeat austria world number four dominic thiem claim atp final title london sunday year old greek beat daniil medvedev roger federer tournament end year world number six
Gavaskar compares Shami to West Indies great Malcolm Marshall,"After Indian pacer, Mohammad Shami ended up with seven wickets in the first Test against Bangladesh, former Indian captain Sunil Gavaskar praised the pacer and compared him to West Indies great Malcolm Marshall. ""His delivery also comes at you like a missile. Same kind of late inward and outward movement,"" Gavaskar added about Shami. ",sports,"Gavaskar compares Shami to West Indies great Malcolm Marshall. After Indian pacer, Mohammad Shami ended up with seven wickets in the first Test against Bangladesh, former Indian captain Sunil Gavaskar praised the pacer and compared him to West Indies great Malcolm Marshall. ""His delivery also comes at you like a missile. Same kind of late inward and outward movement,"" Gavaskar added about Shami. ",gavaskar compare shami west indie great malcolm marshall indian pacer mohammad shami end seven wicket first test bangladesh former indian captain sunil gavaskar praise pacer compare west indie great malcolm marshall delivery also come like missile kind late inward outward movement gavaskar add shami
We failed to play as a team: Mominul Haque after 1st Test loss,"After losing the first Test by an innings and 130 runs against India, Bangladesh captain Mominul Haque said that his team didn't bat well in the match. ""Mushfiqur batted well in both innings, Liton did well...but we failed to play as a team,"" he added. ""We have to forget about this and have to look forward to Kolkata,"" he stated. ",sports,"We failed to play as a team: Mominul Haque after 1st Test loss. After losing the first Test by an innings and 130 runs against India, Bangladesh captain Mominul Haque said that his team didn't bat well in the match. ""Mushfiqur batted well in both innings, Liton did well...but we failed to play as a team,"" he added. ""We have to forget about this and have to look forward to Kolkata,"" he stated. ",fail play team mominul haque st test loss lose first test innings run india bangladesh captain mominul haque say team not bat well match mushfiqur bat well inning liton well fail play team add forget look forward kolkata state
Stayed positive during rehab: Saha on his recovery from injury,"Recalling the time he was rehabilitating from an injury that kept him out of the Indian Test team, wicketkeeper Wriddhiman Saha said, ""I always stayed positive during my rehab. I never thought about what would happen next."" Speaking about his experience keeping with the pink ball, Saha said, ""[P]icking the pink ball under lights was a tad difficult.""",sports,"Stayed positive during rehab: Saha on his recovery from injury. Recalling the time he was rehabilitating from an injury that kept him out of the Indian Test team, wicketkeeper Wriddhiman Saha said, ""I always stayed positive during my rehab. I never thought about what would happen next."" Speaking about his experience keeping with the pink ball, Saha said, ""[P]icking the pink ball under lights was a tad difficult.""",stay positive rehab saha recovery injury recall time rehabilitate injury keep indian test team wicketkeeper wriddhiman saha say always stay positive rehab never think would happen next speak experience keep pink ball saha say [ p ] ick pink ball light tad difficult
"Boult, Bumrah can form lethal partnership for MI: Jayawardene","Indian Premier League side Mumbai Indians' coach Mahela Jayawardene has said that their side's recent acquisition, pacer Trent Boult, can form a ""lethal partnership"" with Indian pacer Jasprit Bumrah. ""Obviously we let go of Mayank (Markande) because we felt that he could get some game time in Delhi,"" Jayawardene said about the departure of the spinner.",sports,"Boult, Bumrah can form lethal partnership for MI: Jayawardene. Indian Premier League side Mumbai Indians' coach Mahela Jayawardene has said that their side's recent acquisition, pacer Trent Boult, can form a ""lethal partnership"" with Indian pacer Jasprit Bumrah. ""Obviously we let go of Mayank (Markande) because we felt that he could get some game time in Delhi,"" Jayawardene said about the departure of the spinner.",boult bumrah form lethal partnership mi jayawardene indian premier league side mumbai indian coach mahela jayawardene say side recent acquisition pacer trent boult form lethal partnership indian pacer jasprit bumrah obviously let go mayank markande feel could get game time delhi jayawardene say departure spinner
Ronaldo winning Ballon d’Or won’t be ‘logical’: Casillas,"Speaking about his former teammate at Real Madrid, Cristiano Ronaldo, former Madrid captain Iker Casillas said he believes that Ronaldo winning the Ballon d'Or this year would not be 'logical'. ""[If Ronaldo wins], it would seem to me that the guidelines we use in football to determine who wins its biggest individual awards are not logical,"" Casillas said.",sports,"Ronaldo winning Ballon d’Or won’t be ‘logical’: Casillas. Speaking about his former teammate at Real Madrid, Cristiano Ronaldo, former Madrid captain Iker Casillas said he believes that Ronaldo winning the Ballon d'Or this year would not be 'logical'. ""[If Ronaldo wins], it would seem to me that the guidelines we use in football to determine who wins its biggest individual awards are not logical,"" Casillas said.",ronaldo win ballon dor not logical casillas speak former teammate real madrid cristiano ronaldo former madrid captain iker casilla say believe ronaldo win ballon dor year would not logical [ ronaldo win ] would seem guideline use football determine win big individual award not logical casilla say
3 Indian players to be a part of B'desh Premier League draft,"Three Indian cricketers, former IPL winner Manvinder Bisla, pacer Manpreet Gony and former Rajasthan Royals' cricketer Kumar Boresa, were named among 439 foreign players for a draft for Bangladesh Premier League's new season. ""We proposed to bring in Indian players who are outside the contract of their board. They can play in principle,"" Bangladesh Cricket Board president Nazmul Hassan said.",sports,"3 Indian players to be a part of B'desh Premier League draft. Three Indian cricketers, former IPL winner Manvinder Bisla, pacer Manpreet Gony and former Rajasthan Royals' cricketer Kumar Boresa, were named among 439 foreign players for a draft for Bangladesh Premier League's new season. ""We proposed to bring in Indian players who are outside the contract of their board. They can play in principle,"" Bangladesh Cricket Board president Nazmul Hassan said.",indian player part bdesh premier league draft three indian cricketer former ipl winner manvinder bisla pacer manpreet gony former rajasthan royal cricketer kumar boresa name among foreign player draft bangladesh premier league new season propose bring indian player outside contract board play principle bangladesh cricket board president nazmul hassan say
Sometimes emotions get better of you: Smith apologises for dissent,"Ex-Australia captain Steve Smith issued an apology to his New South Wales' teammates after he was handed a 25% fine for showing dissent on the umpire's decision during their Sheffield Shield game against Western Australia. ""I know lots of kids watch me play and watch all of us play... Sometimes your emotions can get the better of you,"" Smith said.",sports,"Sometimes emotions get better of you: Smith apologises for dissent. Ex-Australia captain Steve Smith issued an apology to his New South Wales' teammates after he was handed a 25% fine for showing dissent on the umpire's decision during their Sheffield Shield game against Western Australia. ""I know lots of kids watch me play and watch all of us play... Sometimes your emotions can get the better of you,"" Smith said.",sometimes emotion get good smith apologis dissent ex australia captain steve smith issue apology new south wale teammate hand fine show dissent umpire decision sheffield shield game western australia know lot kid watch play watch us play sometimes emotion get good smith say
Van Dijk pulls out from last Euro qualifier over personal reasons,Dutch defender Virgil van Dijk has withdrawn from the Holland squad for the side's final Euro 2020 qualifier against Estonia due to 'personal circumstances'. The Dutch captain played 90 minutes on Saturday when Holland qualified for next year's tournament following a 0-0 draw against Northern Ireland. Van Dijk is Liverpool's fifth player to withdraw from international duty this past week. ,sports,Van Dijk pulls out from last Euro qualifier over personal reasons. Dutch defender Virgil van Dijk has withdrawn from the Holland squad for the side's final Euro 2020 qualifier against Estonia due to 'personal circumstances'. The Dutch captain played 90 minutes on Saturday when Holland qualified for next year's tournament following a 0-0 draw against Northern Ireland. Van Dijk is Liverpool's fifth player to withdraw from international duty this past week. ,van dijk pull last euro qualifier personal reason dutch defender virgil van dijk withdraw holland squad side final euro qualifi estonia due personal circumstance dutch captain play minute saturday holland qualify next year tournament follow draw northern ireland van dijk liverpool fifth player withdraw international duty past week
Ronaldo reaches 99 int'l goals as Portugal qualify for Euro 2020,"Portugal captain Cristiano Ronaldo took his international goal tally to 99 as the defending champions Portugal qualified for the Euro 2020 finals on Sunday with a 2-0 victory over Luxembourg. With the win, that extended Luxembourg's losing streak to seven matches, Portugal became the 17th nation to qualify for next year's multi-host tournament.",sports,"Ronaldo reaches 99 int'l goals as Portugal qualify for Euro 2020. Portugal captain Cristiano Ronaldo took his international goal tally to 99 as the defending champions Portugal qualified for the Euro 2020 finals on Sunday with a 2-0 victory over Luxembourg. With the win, that extended Luxembourg's losing streak to seven matches, Portugal became the 17th nation to qualify for next year's multi-host tournament.",ronaldo reach intl goal portugal qualify euro portugal captain cristiano ronaldo take international goal tally defend champion portugal qualify euro final sunday victory luxembourg win extend luxembourgs lose streak seven match portugal become th nation qualify next year multi host tournament
Withdraw your army from our land: Nepal to India over new map,"Nepal's Prime Minister KP Sharma Oli on Sunday claimed that the Kalapani area belonged to Nepal, and added that dialogue will follow after India ""withdraws its army from our land."" Notably, the Indian government had earlier stated that the new political map accurately depicts the sovereign territory of India and that it is committed to finding a solution through dialogue.",world,"Withdraw your army from our land: Nepal to India over new map. Nepal's Prime Minister KP Sharma Oli on Sunday claimed that the Kalapani area belonged to Nepal, and added that dialogue will follow after India ""withdraws its army from our land."" Notably, the Indian government had earlier stated that the new political map accurately depicts the sovereign territory of India and that it is committed to finding a solution through dialogue.",withdraw army land nepal india new map nepal prime minister kp sharma oli sunday claim kalapani area belong nepal add dialogue follow india withdraw army land notably indian government earlier state new political map accurately depict sovereign territory india commit find solution dialogue
India extends visa-on-arrival facility to UAE nationals,"The Indian government has decided to extend the visa-on-arrival facility to the United Arab Emirates nationals. It will be available to UAE nationals for up to 60 days with double entry for business, tourism, conference and medical purposes. It will be available only to those UAE nationals who have earlier obtained an e-Visa or a normal paper Visa for India.",world,"India extends visa-on-arrival facility to UAE nationals. The Indian government has decided to extend the visa-on-arrival facility to the United Arab Emirates nationals. It will be available to UAE nationals for up to 60 days with double entry for business, tourism, conference and medical purposes. It will be available only to those UAE nationals who have earlier obtained an e-Visa or a normal paper Visa for India.",india extend visa arrival facility uae national indian government decide extend visa arrival facility united arab emirate national available uae national day double entry business tourism conference medical purpose available uae national earlier obtain e visa normal paper visa india
He has cast me aside like a one-night stand: US businesswoman on UK PM,"US businesswoman Jennifer Arcuri has accused Boris Johnson of casting her aside ""like some one-night stand"" and leaving her ""heartbroken"" since he became UK's Prime Minister and the controversy over their four-year relationship became public. Adding that Johnson has refused to take her phone calls, Arcuri said, ""Shame on him for not answering the phone.""",world,"He has cast me aside like a one-night stand: US businesswoman on UK PM. US businesswoman Jennifer Arcuri has accused Boris Johnson of casting her aside ""like some one-night stand"" and leaving her ""heartbroken"" since he became UK's Prime Minister and the controversy over their four-year relationship became public. Adding that Johnson has refused to take her phone calls, Arcuri said, ""Shame on him for not answering the phone.""",cast aside like one night stand us businesswoman uk pm us businesswoman jennifer arcuri accuse boris johnson cast aside like one night stand leave heartbroken since become uks prime minister controversy four year relationship become public add johnson refuse take phone call arcuri say shame not answer phone
4 shot dead as gunman opens fire at 35 people watching football game in US,"A gun-wielding man shot 4 people dead and left 6 others injured after he opened fire at about 35 people who were watching a football game in a backyard in US' California. ""This was senseless violence. We're going to do everything we can to find out who the perpetrators were and bring them to justice,"" police said.",world,"4 shot dead as gunman opens fire at 35 people watching football game in US. A gun-wielding man shot 4 people dead and left 6 others injured after he opened fire at about 35 people who were watching a football game in a backyard in US' California. ""This was senseless violence. We're going to do everything we can to find out who the perpetrators were and bring them to justice,"" police said.",shoot dead gunman open fire people watch football game us gun wield man shoot people dead leave injure open fire people watch football game backyard us california senseless violence go everything find perpetrator bring justice police say
Trump pardons 2 US Army officers accused of war crimes,"US President Donald Trump pardoned two Army officers accused of war crimes in Afghanistan. He also ordered to restore the rank of a Navy SEAL platoon commander who was demoted for posing with an ISIS captive's dead body in Iraq. Trump had earlier said he was considering pardons for troops charged with war crimes, claiming they had been treated ""unfairly"".",world,"Trump pardons 2 US Army officers accused of war crimes. US President Donald Trump pardoned two Army officers accused of war crimes in Afghanistan. He also ordered to restore the rank of a Navy SEAL platoon commander who was demoted for posing with an ISIS captive's dead body in Iraq. Trump had earlier said he was considering pardons for troops charged with war crimes, claiming they had been treated ""unfairly"".",trump pardon us army officer accuse war crime us president donald trump pardon two army officer accuse war crime afghanistan also order restore rank navy seal platoon commander demote pose isis captive dead body iraq trump earlier say consider pardon troop charge war crime claim treat unfairly
Gotabaya Rajapaksa to be next Sri Lanka Prez as opponent concedes defeat,"Gotabaya Rajapaksa has won the Sri Lankan presidency after a closely fought election, as his main opponent Sajith Premadasa of the ruling United National Party conceded defeat. ""It is my privilege to honour the decision of the people and congratulate Gotabaya Rajapaksa on his election as President of Sri Lanka,"" Premadasa said in a statement.",world,"Gotabaya Rajapaksa to be next Sri Lanka Prez as opponent concedes defeat. Gotabaya Rajapaksa has won the Sri Lankan presidency after a closely fought election, as his main opponent Sajith Premadasa of the ruling United National Party conceded defeat. ""It is my privilege to honour the decision of the people and congratulate Gotabaya Rajapaksa on his election as President of Sri Lanka,"" Premadasa said in a statement.",gotabaya rajapaksa next sri lanka prez opponent concede defeat gotabaya rajapaksa win sri lankan presidency closely fight election main opponent sajith premadasa rule united national party concede defeat privilege honour decision people congratulate gotabaya rajapaksa election president sri lanka premadasa say statement
230 protestors blinded after being shot by pellets in Chile,"The principle medical organisation in Chile has said that nearly 230 people have lost their sight, either partially or completely, after being shot by pellets fired by state security agents during protests over inequality in the country. Protestors are demanding better social services. The medical body said that the average age of the victims is 30.",world,"230 protestors blinded after being shot by pellets in Chile. The principle medical organisation in Chile has said that nearly 230 people have lost their sight, either partially or completely, after being shot by pellets fired by state security agents during protests over inequality in the country. Protestors are demanding better social services. The medical body said that the average age of the victims is 30.",protestor blind shoot pellet chile principle medical organisation chile say nearly people lose sight either partially completely shoot pellet fire state security agent protest inequality country protestor demand good social service medical body say average age victim
Demonstrators mark 1st anniversary of 'yellow vest' protests in Paris,"Police used water cannon and tear gas in Paris on Saturday to counter demonstrators marking the first anniversary of the 'yellow vest' protests. The demonstrators set cars on fire,  smashed windows and destroyed bus shelters. The 'yellow vest' protests began initially against the rise in fuel taxes, but since widened into a movement against President Emmanuel Macron and his policies.",world,"Demonstrators mark 1st anniversary of 'yellow vest' protests in Paris. Police used water cannon and tear gas in Paris on Saturday to counter demonstrators marking the first anniversary of the 'yellow vest' protests. The demonstrators set cars on fire,  smashed windows and destroyed bus shelters. The 'yellow vest' protests began initially against the rise in fuel taxes, but since widened into a movement against President Emmanuel Macron and his policies.",demonstrator mark st anniversary yellow vest protest paris police use water cannon tear gas paris saturday counter demonstrator mark first anniversary yellow vest protest demonstrator set car fire smash window destroy bus shelter yellow vest protest begin initially rise fuel tax since widen movement president emmanuel macron policy
2 chemistry professors arrested for making meth in university lab in US,"Two US chemistry professors have been arrested for making methamphetamine and using drug paraphernalia in a lab at Henderson State University. Both of them had been on administrative leave since October 11 over reports of an undetermined chemical odour at a science centre. Initial testing indicated an elevated presence of benzyl chloride, a chemical used to synthesise methamphetamine.",world,"2 chemistry professors arrested for making meth in university lab in US. Two US chemistry professors have been arrested for making methamphetamine and using drug paraphernalia in a lab at Henderson State University. Both of them had been on administrative leave since October 11 over reports of an undetermined chemical odour at a science centre. Initial testing indicated an elevated presence of benzyl chloride, a chemical used to synthesise methamphetamine.",chemistry professor arrest make meth university lab us two us chemistry professor arrest make methamphetamine use drug paraphernalia lab henderson state university administrative leave since october report undetermined chemical odour science centre initial testing indicate elevated presence benzyl chloride chemical use synthesise methamphetamine
Decommissioned nuclear missile bunker being sold for ₹2.8 crore in US,"A decommissioned nuclear bunker, which was once home to US' largest intercontinental ballistic missile ever deployed, is being sold for over ₹2.8 crore. The owner, Rick Ellis, said he was selling the property because he's ""bored"". So far, Ellis said he has rejected two offers, including one from a buyer who planned to use it as a porn studio.",world,"Decommissioned nuclear missile bunker being sold for ₹2.8 crore in US. A decommissioned nuclear bunker, which was once home to US' largest intercontinental ballistic missile ever deployed, is being sold for over ₹2.8 crore. The owner, Rick Ellis, said he was selling the property because he's ""bored"". So far, Ellis said he has rejected two offers, including one from a buyer who planned to use it as a porn studio.",decommission nuclear missile bunker sell crore us decommission nuclear bunker home us large intercontinental ballistic missile ever deploy sell crore owner rick ellis say sell property bored far elli say reject two offer include one buyer plan use porn studio
PM Modi congratulates Gotabaya on winning Sri Lankan prez polls,"PM Narendra Modi on Sunday congratulated Gotabaya Rajapaksa on winning the Sri Lankan presidential polls. ""I look forward to working closely with you for deepening the close and fraternal ties between our two countries and citizens,"" PM Modi tweeted. ""I thank Prime Minister Narendra Modi and the people of India for your warm wishes,"" Rajapaksa tweeted in response.",world,"PM Modi congratulates Gotabaya on winning Sri Lankan prez polls. PM Narendra Modi on Sunday congratulated Gotabaya Rajapaksa on winning the Sri Lankan presidential polls. ""I look forward to working closely with you for deepening the close and fraternal ties between our two countries and citizens,"" PM Modi tweeted. ""I thank Prime Minister Narendra Modi and the people of India for your warm wishes,"" Rajapaksa tweeted in response.",pm modi congratulate gotabaya win sri lankan prez poll pm narendra modi sunday congratulate gotabaya rajapaksa win sri lankan presidential poll look forward work closely deepen close fraternal tie two country citizen pm modi tweet thank prime minister narendra modi people india warm wish rajapaksa tweet response
Russia to return three captured Ukrainian ships on Monday,"Russia will return three captured naval ships to Ukraine on Monday, Crimea's border guard service was quoted as saying by Russian news agencies. ""Three Ukrainian ships...are being towed to a location agreed with the Ukrainian side for their handover,"" it said. Russia had captured the ships and their sailors last year, claiming that they had crossed into its territorial waters.",world,"Russia to return three captured Ukrainian ships on Monday. Russia will return three captured naval ships to Ukraine on Monday, Crimea's border guard service was quoted as saying by Russian news agencies. ""Three Ukrainian ships...are being towed to a location agreed with the Ukrainian side for their handover,"" it said. Russia had captured the ships and their sailors last year, claiming that they had crossed into its territorial waters.",russia return three capture ukrainian ship monday russia return three capture naval ship ukraine monday crimeas border guard service quote say russian news agency three ukrainian ship tow location agree ukrainian side handover say russia capture ship sailor last year claim cross territorial water
Trump defends opponent Biden over N Korea's 'rabid dog' jibe,"US President Donald Trump defended political opponent, former US Vice President Joe Biden, on Sunday after North Korea called Biden a ""rabid dog"" that needs to be ""beaten to death"". Trump in response tweeted, ""Mr Chairman (North Korea's leader Kim Jong-un)...Biden may be Sleepy and Very Slow, but he is not a 'rabid dog'. He's actually somewhat better than that.""

",world,"Trump defends opponent Biden over N Korea's 'rabid dog' jibe. US President Donald Trump defended political opponent, former US Vice President Joe Biden, on Sunday after North Korea called Biden a ""rabid dog"" that needs to be ""beaten to death"". Trump in response tweeted, ""Mr Chairman (North Korea's leader Kim Jong-un)...Biden may be Sleepy and Very Slow, but he is not a 'rabid dog'. He's actually somewhat better than that.""

",trump defend opponent biden n koreas rabid dog jibe us president donald trump defend political opponent former us vice president joe biden sunday north korea call biden rabid dog need beat death trump response tweet mr chairman north korea leader kim jong un biden may sleepy slow not rabid dog actually somewhat good
"US, S Korea postpone military drills to improve N Korea peace effort","The US and South Korea on Sunday announced that joint military exercise between the two will be postponed to improve peace efforts with North Korea. The joint military exercise had been described as provocative by North Korea. US Defence Secretary Mark Esper called it a ""good-faith effort"" to facilitate an agreement that leads to the denuclearisation of the Korean Peninsula.",world,"US, S Korea postpone military drills to improve N Korea peace effort. The US and South Korea on Sunday announced that joint military exercise between the two will be postponed to improve peace efforts with North Korea. The joint military exercise had been described as provocative by North Korea. US Defence Secretary Mark Esper called it a ""good-faith effort"" to facilitate an agreement that leads to the denuclearisation of the Korean Peninsula.",us korea postpone military drill improve n korea peace effort us south korea sunday announce joint military exercise two postpone improve peace effort north korea joint military exercise describe provocative north korea us defence secretary mark esper call good faith effort facilitate agreement lead denuclearisation korean peninsula
"HK protesters shoot arrows, hurl petrol bombs from university campus","Some protesters in Hong Kong shot arrows and hurled petrol bombs at policemen on Sunday from a barricaded university campus, which one protester claimed was in self-defence. The police in return fired tear gas and blue liquid from the water cannons at protesters. The police said that one media liaison officer was hit by an arrow in the leg.",world,"HK protesters shoot arrows, hurl petrol bombs from university campus. Some protesters in Hong Kong shot arrows and hurled petrol bombs at policemen on Sunday from a barricaded university campus, which one protester claimed was in self-defence. The police in return fired tear gas and blue liquid from the water cannons at protesters. The police said that one media liaison officer was hit by an arrow in the leg.",hk protester shoot arrow hurl petrol bomb university campus protester hong kong shoot arrow hurl petrol bomb policeman sunday barricaded university campus one protester claim self defence police return fire tear gas blue liquid water cannon protester police say one medium liaison officer hit arrow leg
China's 1st indigenous aircraft carrier on way to South China Sea,"China's first domestically-built aircraft is on its way to the South China Sea for tests and to take part in exercises, the Chinese Navy said on Monday. ""It's not aimed at any specific target and has nothing to do with the current situation,"" the Chinese Navy added. Japanese and US ships were trailing the Chinese carrier, Taiwan's defence ministry said. ",world,"China's 1st indigenous aircraft carrier on way to South China Sea. China's first domestically-built aircraft is on its way to the South China Sea for tests and to take part in exercises, the Chinese Navy said on Monday. ""It's not aimed at any specific target and has nothing to do with the current situation,"" the Chinese Navy added. Japanese and US ships were trailing the Chinese carrier, Taiwan's defence ministry said. ",chinas st indigenous aircraft carrier way south china sea chinas first domestically build aircraft way south china sea test take part exercise chinese navy say monday not aim specific target nothing current situation chinese navy add japanese us ship trail chinese carrier taiwan defence ministry say
"N Korea's Kim oversees air drills while US, S Korea postpone drills","North Korean state media on Monday reported that the country's leader Kim Jong-un supervised air force drills under ""simulated conditions of real war"". South Korea and the US on Sunday announced the postponement of their joint drills to improve denuclearisation talks with North Korea. Kim Jong-un said that it was important to ""wage a drill without notice"" to ""improve preparedness"". ",world,"N Korea's Kim oversees air drills while US, S Korea postpone drills. North Korean state media on Monday reported that the country's leader Kim Jong-un supervised air force drills under ""simulated conditions of real war"". South Korea and the US on Sunday announced the postponement of their joint drills to improve denuclearisation talks with North Korea. Kim Jong-un said that it was important to ""wage a drill without notice"" to ""improve preparedness"". ",n korea kim oversee air drill us korea postpone drill north korean state medium monday report country leader kim jong un supervised air force drill simulate condition real war south korea us sunday announce postponement joint drill improve denuclearisation talk north korea kim jong un say important wage drill without notice improve preparedness
Trump's adviser Roger Stone found guilty in WikiLeaks hacking case,"Roger Stone, US President Donald Trump's longtime adviser, has been found guilty of seven counts of lying to the US Congress, obstruction and witness tampering. The court heard that he lied about his efforts to learn more about when WikiLeaks would release damaging emails about Hillary Clinton. Stone is allowed to remain free until his sentencing, set for February.",world,"Trump's adviser Roger Stone found guilty in WikiLeaks hacking case. Roger Stone, US President Donald Trump's longtime adviser, has been found guilty of seven counts of lying to the US Congress, obstruction and witness tampering. The court heard that he lied about his efforts to learn more about when WikiLeaks would release damaging emails about Hillary Clinton. Stone is allowed to remain free until his sentencing, set for February.",trump adviser roger stone find guilty wikileak hacking case roger stone us president donald trump longtime adviser find guilty seven count lie us congress obstruction witness tamper court hear lie effort learn wikileak would release damaging email hillary clinton stone allow remain free sentencing set february
Leaked Chinese govt documents detail clampdown in Xinjiang: NYT,"A set of leaked Chinese government documents reveal the details of its clampdown on Uighur Muslims and other Muslims in Xinjiang region, the New York Times reported. The documents reportedly include unpublished speeches by China's President Xi Jinping. In a 2014 speech to officials, President Xi had asked them to show ""absolutely no mercy"" against terrorism and separatism, NYT said.",world,"Leaked Chinese govt documents detail clampdown in Xinjiang: NYT. A set of leaked Chinese government documents reveal the details of its clampdown on Uighur Muslims and other Muslims in Xinjiang region, the New York Times reported. The documents reportedly include unpublished speeches by China's President Xi Jinping. In a 2014 speech to officials, President Xi had asked them to show ""absolutely no mercy"" against terrorism and separatism, NYT said.",leak chinese govt document detail clampdown xinjiang nyt set leak chinese government document reveal detail clampdown uighur muslim muslim xinjiang region new york time report document reportedly include unpublished speech china president xi jinping speech official president xi ask show absolutely no mercy terrorism separatism nyt say
